학부소개	SUST_INTRO		
학부장 인사말			findSustMgerHrList
학부장 인사말			findSustMgerHrForm
학부장 인사말			findSustMgerHrInfo

교육목표					findEduGoalList
교육목표					findEduGoalForm

학부연혁					findSustHistoryList
학부연혁					findSustHistoryForm

학부조직					findSustOrgzList
학부조직					findSustOrgzForm

오시는길					findDirectionsList
오시는길					findDirectionsForm
		
사람들 prs
교수						findProfList
교수						findProfForm

직원						findEmpyList
직원						findEmpyForm

명예 및 퇴직교수			findHnrAndRetProfList
명예 및 퇴직교수			findHnrAndRetProfForm

기계공학부 동문회		findMachEngrgSbAlmMetList
기계공학부 동문회		findMachEngrgSbAlmMetForm

		
교육	edu	
교과과정(ABEEK)			findSbjtCrsList
교과과정(ABEEK)			findSbjtCrsForm

영어전용 과목			findEngDivrsnSbjList
영어전용 과목			findEngDivrsnSbjForm

학사일정					findBachSchedList
학사일정					findBachSchedForm

		
대학원	gs	
융합기계공학과			findUsMachEngrgList
융합기계공학과			findUsMachEngrgForm

기계공학과				findMachEngrgDptList
기계공학과				findMachEngrgDptForm

자동차공학과				findVehEngrgDptList
자동차공학과				findVehEngrgDptForm

		
		
커뮤니티
학부공지					findSustAnncList
학부공지					findSustAnncForm

대학원공지				findGsAnncList
대학원공지				findGsAnncForm

학생회공지				findStdunAnncList
학생회공지				findStdunAnncForm

기계공학FAQ				findMachEngrgFaqList
기계공학FAQ				findMachEngrgFaqForm

자료실					findDataRoomList
자료실					findDataRoomForm

멘토링 및 취업게시판		findMentrgAndEplymBoardList
멘토링 및 취업게시판		findMentrgAndEplymBoardForm

자유게시판				findFreeBoardList
자유게시판				findFreeBoardForm
